Nome,Preços
['Cerveja FABRICA 1959 PILSEN Puro Malte Garrafa 500ml'],['######']
['Kit Cerveja Stella 269ml C/8 Latas + 1 Cálice 250ml'],['######']
['Cerveja FABRICA 1959 IPA Garrafa 500ml'],['######']
['Kit Cerveja Münchner Hell + Cerveja Hefe-Weissbier Garrafa 500ml Cada + 1 Copo Paulaner '],['######']
['Cerveja Colorado Demoiselle 600ml Garrafa'],"['R$15,99']"
['Cerveja FABRICA 1959 WEISS Garrafa 500ml'],['######']
['Cerveja Belga VEDETT Ipa Garrafa 330ml'],['######']
['Kit Cerveja LONDON PRIDE Garrafa 500ml'],['######']
['Cerveja India Pale Ale Madalena Garrafa 600ml'],['######']
['Cerveja Urweisse Erdinger Garrafa 500ml'],['######']
['Cerveja Americana BROOKLYN IPA Garrafa 355ml'],['######']
['Cerveja Lager Puro Malte Brooklyn Garrafa 355ml'],['######']
['Cerveja Anchor Porter 355ml'],['######']
['Cerveja Goose Island IPA 355ml Long Neck'],['######']
['Cerveja Tripel Hop Citra Duvel Garrafa 330ml'],['######']
['Kit COLORADO Appia + 1 Copo'],['######']
['Cerveja INVICTA Hellbeirão Garrafa 500ml'],['######']
['Cerveja Invicta Frut Maracujipa Garrafa 500ml'],['######']
['Cerveja Weiss Maracujá TUPINIQUIM Lata 350ml'],['######']
['Cerveja República Tcheca  CZECHVAR Budvar Garrafa 500ml'],['######']
['Cerveja MORLAND Old Speckled Hen Lata 500ml'],['######']
['Cerveja Ale Chocolate Baden Baden Garrafa 600ml'],['######']
['Cerveja Session Rye IPA Drache Leuven Garrafa 500ml'],['######']
['Cerveja Artesanal Leuven Red Ale Knight 500Ml'],['######']
['Cerveja Tupiniquim Monjolo Garrafa 310ml'],['######']
['Cerveja COLORADO Ribeirão Lager Lata 350ml'],"['R$4,99']"
['Cerveja Malzbier Itaipava Garrafa 355ml'],['######']
