Nome,Precos
['Kit 4 Cervejas Brasil EISENBAHN Weiss Garrafa 355ml + Mussarela de Búfala Bola Média QUALITÁ 250g'],"['R$43,45']"
['Cerveja HEINEKEN Lata 350ml - Caixa com 24 Unidades'],"['R$111,60']"
['Kit Costela Barbecue Seara Gourmet 1Kg + Cerveja Colorado Ribeirão Lager Lata 350ml + Molho Barbecue Original Heinz Squeeze 397g'],"['R$125,09']"
['Kit 12 Cervejas Heineken Lata 350ml + 1 Gran Angus Burger Seara Gourmet 400g'],"['R$80,79']"
['Cerveja Bohemia Puro Malte 350ml Lata Pack C/18'],"['R$55,62']"
['Cerveja HEINEKEN Lata 350ml - Caixa com 12 Unidades'],"['R$55,80']"
['Cerveja BUDWEISER Lata 269ml Cada - Pack com 48 Unidades'],"['R$157,92']"
['Cerveja BUDWEISER Garrafa 550ml - 12 Unidades'],"['R$101,88']"
['Kit 12 Cervejas Baden Baden American Ipa Lata 350ml + 1 Bacon em Fatias Seara Gourmet 250g + 2 Burger Picanha Seara Gourmet 360g'],"['R$137,65']"
['Kit 6 Cervejas Eisenbahn American Ipa Puro Malte Lata 350ml + 1 Gran Angus Burger Seara Gourmet 400g'],"['R$51,33']"
['Kit 3 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + \tEmpanado Seara incrível 300g'],"['R$34,76']"
['Cerveja AMSTEL Lager Lata 350ml - com 24 Unidades'],"['R$76,56']"
['Kit 6 Cervejas Corona 330 ML Long Neck + Limão Tahiti 500g'],"['R$38,93']"
['Kit 6 Cervejas BECKS 350 ML Lata + Pizza Artesanal Margherita SEARA Gourmet 450g'],"['R$63,53']"
['Cerveja SKOL Lata 350ml - 24 Unidades'],"['R$66,96']"
['Cerveja LEUVEN Golden Ale KING Garrafa 500ml'],"['R$14,99']"
['Cerveja Weizen Iniciação Invicta Garrafa 500ml'],"['R$19,99']"
['Kit com 2 Cerveja BADEN BADEN Cristal 600ml 1 Kit Moqueca de Saint Peters com Camarão 340g'],"['R$41,47']"
['Cerveja ST. BERNARDUS PRIOR 8 Garrafa 330ml'],"['R$29,99']"
['Kit Cerveja LONDON PRIDE Garrafa 500ml'],"['R$129,99']"
['Cerveja Alemã PAULANER LEMON LATA 500ML'],"['R$20,29']"
['Cerveja BLONDINE Tropical Umbu Garrafa 500ml'],"['R$33,99']"
['Cerveja Session Rye IPA Drache Leuven Garrafa 500ml'],"['R$21,99']"
['Cerveja COLORADO Ribeirão Lager Lata 350ml'],"['R$5,99']"
['Cerveja DOM CASMURRO Ipa Garrafa 600ml'],"['R$23,99']"
['Cerveja 2 Cabeças ZEZINHO 500ml'],"['R$30,99']"
['Cerveja Belga VEDETT White Garrafa 330ml'],"['R$23,99']"
['Cerveja Bohemia Puro Malte 350ml Lata Pack C/18'],"['R$52,02']"
['Cerveja alemã Paulaner Hefe-weiss 500ml'],"['R$21,99']"
['Cerveja Malzbier Itaipava Garrafa 355ml'],"['R$3,69']"
['Cerveja BLONDINE Blond Ale Garrafa 500ml'],"['R$19,99']"
['Cerveja SOL Premium Long Neck 330ml'],"['R$4,29']"
['Cerveja Amber Lager Puro Malte Cacildis Lata 350ml'],"['R$3,79']"
['Cerveja Jamaicana RED STRIPE Lager Garrafa 330ml'],"['R$11,99']"
['Cerveja Dinamarquesa FAXE Witbier Lata 500ml'],"['R$21,99']"
['Cerveja Burguesa Pilsen 350ml'],"['R$2,09']"
